individual_id,first_name,last_name,age,sex,canton,city,occupation,sector,education,employment_type,marital_status,income_chf,risk_appetite,wallet_share,stress,life_sat,health_score,checking_balance,savings_balance,investment_balance,has_pillar3a,has_investment,has_credit_card,has_insurance,has_mortgage,has_youth_product,deceased,nba_1_id,nba_1_name,nba_1_confidence,nba_1_why,nba_2_id,nba_2_name,nba_2_confidence,nba_2_why,nba_3_id,nba_3_name,nba_3_confidence,nba_3_why
0002546a-e1aa-4023-b1e2-01b8e4c6fb93,Nicole,Brunner,15,F,BE,Fraubrunnen,Schüler/in,,mandatory,student,single,0.0,0.371,0.89,44,62,90,1659.72,1842.12,0.0,False,False,False,False,False,True,False,NBA14,Churn Risk Retention Outreach,0.65,Transaction activity went from 2 to 0 between the first and second half of the observed window.,NBA11,Insurance Protection Gap,0.318,"No insurance product on file. Marital status: single, has mortgage: False. Discuss life or legal protection cover.",NBA01,Youth-to-Adult Account Migration,0.145,"Age 15, still holding a youth account. Plan ahead for migration to adult products."
0003b06e-7032-448b-992c-fe386d56da56,Lea,Schneider,35,F,VD,Aigle,Produktionsleiter/in,manufacturing,university,employed,single,8337.4,0.0,0.64,45,79,34,34832.32,75734.87,0.0,True,False,False,False,False,False,False,NBA09,Credit Card Cross-Sell,0.95,"357 transactions observed in the window, no credit card on file. Offer Kreditkarte Visa/Mastercard.",NBA11,Insurance Protection Gap,0.318,"No insurance product on file. Marital status: single, has mortgage: False. Discuss life or legal protection cover.",NBA10,Wealth Building Investment Upsell,0.26,"Income ~CHF 8,337/month, no investment product on file. Open a wealth-building conversation (Anlagekonto/Wertschriftendepot)."
000e852c-3e17-4561-871a-6bf12f8b557c,Levi,Wenger,42,M,ZH,Zürich,Detailhandelsfachmann/-frau,retail,apprenticeship,employed,married,4588.87,0.0,0.83,59,76,53,43263.92,63645.25,0.0,True,False,False,False,False,False,False,NBA09,Credit Card Cross-Sell,0.95,"475 transactions observed in the window, no credit card on file. Offer Kreditkarte Visa/Mastercard.",NBA11,Insurance Protection Gap,0.815,"No insurance product on file. Marital status: married, has mortgage: False. Discuss life or legal protection cover.",NBA02,Newlywed Joint Account Offer,0.05,No marriage event on file for this client in the observed window.
0014a7c6-6ece-49d8-a8bc-1ed8ac66e206,Mia,Baumann,20,F,AG,Lupfig,,,apprenticeship,employed,single,4097.22,0.238,0.54,68,46,96,11408.66,4782.24,0.0,False,False,False,False,False,False,True,NBA02,Newlywed Joint Account Offer,0.02,"[Deceased client — shown for completeness only, do not action] No marriage event on file for this client in the observed window.",NBA03,New Parent Savings Plan,0.02,"[Deceased client — shown for completeness only, do not action] No birth event on file for this client in the observed window.",NBA04,Property Purchase Mortgage & Insurance Bundle,0.02,"[Deceased client — shown for completeness only, do not action] No property purchase event on file for this client in the observed window."
002b828d-1e2f-4b22-8776-52e7d51b0351,Nina,Keller,84,F,SZ,Willerzell,Pensioniert,,apprenticeship,retired,single,2083.86,0.081,0.84,87,56,20,9403.6,142921.0,0.0,False,False,False,False,False,False,False,NBA09,Credit Card Cross-Sell,0.95,"314 transactions observed in the window, no credit card on file. Offer Kreditkarte Visa/Mastercard.",NBA11,Insurance Protection Gap,0.318,"No insurance product on file. Marital status: single, has mortgage: False. Discuss life or legal protection cover.",NBA14,Churn Risk Retention Outreach,0.084,Transaction activity went from 160 to 154 between the first and second half of the observed window.
0038214e-6e63-4679-a712-90fe0f03c570,Patrick,Bühler,39,M,TG,Ellighausen,Verwaltungsangestellte/r,public_admin,mandatory,employed,married,6513.86,0.0,0.58,73,62,44,76358.29,41914.93,3681.83,True,True,False,False,False,False,False,NBA09,Credit Card Cross-Sell,0.95,"385 transactions observed in the window, no credit card on file. Offer Kreditkarte Visa/Mastercard.",NBA11,Insurance Protection Gap,0.815,"No insurance product on file. Marital status: married, has mortgage: False. Discuss life or legal protection cover.",NBA06,Idle Cash Savings Upgrade,0.456,"CHF 76,358 in checking vs CHF 41,915 in savings, risk appetite 0.00. Propose moving surplus into a Sparkonto/Anlagesparkonto."
00434cb7-8f24-4bf2-9d8d-7afc8c03fc8d,Levi,Schneider,3,M,LU,Reiden,Schüler/in,,mandatory,,single,0.0,0.403,0.46,11,90,92,0.0,311.15,0.0,False,False,False,False,False,True,False,NBA11,Insurance Protection Gap,0.318,"No insurance product on file. Marital status: single, has mortgage: False. Discuss life or legal protection cover.",NBA09,Credit Card Cross-Sell,0.095,"1 transactions observed in the window, no credit card on file. Offer Kreditkarte Visa/Mastercard.",NBA14,Churn Risk Retention Outreach,0.095,Transaction activity went from 1 to 0 between the first and second half of the observed window.
00446816-0fe1-4301-a0f0-8f2c2595b49b,Andrea,Schmid,66,F,AI,Appenzell,Pensioniert,,apprenticeship,retired,widowed,4746.86,0.255,0.74,58,59,30,38038.08,108921.1,0.0,True,False,False,False,False,False,False,NBA09,Credit Card Cross-Sell,0.95,"461 transactions observed in the window, no credit card on file. Offer Kreditkarte Visa/Mastercard.",NBA11,Insurance Protection Gap,0.318,"No insurance product on file. Marital status: widowed, has mortgage: False. Discuss life or legal protection cover.",NBA07,Idle Cash Investment Upsell,0.28,"CHF 38,038 in checking, risk appetite 0.26, no investment product. Propose Fondssparplan/Wertschriftendepot."
004e01c6-350a-46a4-b230-3da252e732d8,Lisa,Gerber,8,F,UR,Altdorf UR,Schüler/in,,mandatory,student,single,0.0,0.387,0.42,13,70,92,0.0,74.35,0.0,False,False,False,False,False,True,False,NBA11,Insurance Protection Gap,0.318,"No insurance product on file. Marital status: single, has mortgage: False. Discuss life or legal protection cover.",NBA09,Credit Card Cross-Sell,0.095,"1 transactions observed in the window, no credit card on file. Offer Kreditkarte Visa/Mastercard.",NBA14,Churn Risk Retention Outreach,0.095,Transaction activity went from 1 to 0 between the first and second half of the observed window.
005065f3-a585-4d7f-8fc5-c1c25ff1f332,Jonas,Müller,31,M,NE,Le Locle,Sachbearbeiter/in Steuern,public_admin,matura,employed,single,4484.26,0.0,0.49,62,56,60,42471.94,37619.93,0.0,True,False,False,True,False,False,False,NBA09,Credit Card Cross-Sell,0.95,"311 transactions observed in the window, no credit card on file. Offer Kreditkarte Visa/Mastercard.",NBA06,Idle Cash Savings Upgrade,0.153,"CHF 42,472 in checking vs CHF 37,620 in savings, risk appetite 0.00. Propose moving surplus into a Sparkonto/Anlagesparkonto.",NBA15,Wallet Share Consolidation,0.053,"Estimated wallet share with us is 49%, income ~CHF 4,484/month. Propose a full relationship consolidation review."
00512e0a-d8ca-40bb-bbdb-cf75a5c06d16,Elena,Frei,67,F,ZG,Morgarten,Pensioniert,,mandatory,retired,married,2096.44,0.0,0.54,59,82,34,40182.89,142269.39,0.0,True,False,False,False,False,False,False,NBA09,Credit Card Cross-Sell,0.95,"239 transactions observed in the window, no credit card on file. Offer Kreditkarte Visa/Mastercard.",NBA11,Insurance Protection Gap,0.815,"No insurance product on file. Marital status: married, has mortgage: False. Discuss life or legal protection cover.",NBA14,Churn Risk Retention Outreach,0.22,Transaction activity went from 132 to 107 between the first and second half of the observed window.
00559047-a455-45b5-9493-9390b447fa0b,Lea,Widmer,65,F,BL,Reinach BL,Kindergärtner/in,education,matura,self_employed,married,837.13,0.0,0.5,68,61,70,25321.73,86586.62,0.0,True,False,False,False,False,False,False,NBA09,Credit Card Cross-Sell,0.95,"324 transactions observed in the window, no credit card on file. Offer Kreditkarte Visa/Mastercard.",NBA11,Insurance Protection Gap,0.815,"No insurance product on file. Marital status: married, has mortgage: False. Discuss life or legal protection cover.",NBA14,Churn Risk Retention Outreach,0.257,Transaction activity went from 183 to 141 between the first and second half of the observed window.
